x,y,z
151.26404646,-33.91588645,-1.88
151.26404646,-33.91588645,-1.88
151.26404927,-33.91588561,-1.88
151.26405254,-33.91588544,-1.88
151.26405445,-33.91588543,-1.88
151.26405511,-33.91588421,-1.88
151.26405497,-33.91588427,-1.88
151.26405466,-33.91588393,-1.88
151.26405471,-33.9158828,-1.88
151.26405417,-33.9158811,-1.88
151.26405475,-33.91588026,-1.88
151.26405475,-33.91588026,-1.98
151.26405475,-33.91588026,-1.98
151.26405308,-33.9158795,-1.98
151.26405203,-33.91588039,-1.98
151.26405101,-33.91588095,-1.98
151.26404984,-33.91587985,-1.98
151.26404867,-33.91587869,-1.98
151.26404869,-33.91587807,-1.98
151.26404824,-33.91587737,-1.98
151.26404814,-33.91587737,-1.98
151.26404837,-33.91587845,-1.98
151.26404837,-33.91587845,-2.93
151.26404837,-33.91587845,-2.93
151.26404676,-33.91587609,-2.93
151.26404618,-33.9158773,-2.93
151.26404318,-33.91588259,-2.93
151.26404402,-33.91588163,-2.93
151.26404775,-33.91588266,-2.93
151.26405086,-33.9158832,-2.93
151.26405171,-33.91588316,-2.93
151.26405143,-33.91588209,-2.93
151.26405197,-33.91588016,-2.93
151.26405197,-33.91588016,-3.11
151.26405197,-33.91588016,-3.11
151.26405524,-33.91587724,-3.11
151.26405652,-33.91587766,-3.11
151.26405633,-33.9158766,-3.11
151.26405644,-33.91587456,-3.11
151.26405685,-33.91587391,-3.11
151.2640549,-33.91587338,-3.11
151.264051,-33.91587088,-3.11
151.26405017,-33.91586744,-3.11
151.26405044,-33.91586457,-3.11
151.26405044,-33.91586457,-3.45
151.26405044,-33.91586457,-3.45
151.26405083,-33.91586386,-3.45
151.26405308,-33.91586179,-3.45
151.26405424,-33.91586007,-3.45
151.26405596,-33.91585836,-3.45
151.26405829,-33.91585759,-3.45
151.2640617,-33.91585657,-3.45
151.26406162,-33.91585611,-3.45
151.26406191,-33.91585411,-3.45
151.26406209,-33.91585274,-3.45
151.26406209,-33.91585274,-3.42
151.26406209,-33.91585274,-3.42
151.26406214,-33.91585308,-3.42
151.2640601,-33.91585213,-3.42
151.26405856,-33.91585173,-3.42
151.26405899,-33.91585366,-3.42
151.26405901,-33.91585635,-3.42
151.26405958,-33.91585596,-3.42
151.26405856,-33.915856,-3.42
151.26405698,-33.91585741,-3.42
151.26405776,-33.91585839,-3.42
151.26405927,-33.91585813,-3.42
151.26405927,-33.91585813,-3.79
151.26406086,-33.91585837,-3.79
151.26406128,-33.91585761,-3.79
151.26406115,-33.91585754,-3.79
151.26406086,-33.91585871,-3.79
151.26406065,-33.91586059,-3.79
151.26405998,-33.91586252,-3.79
151.26405948,-33.91586484,-3.79
151.2640564,-33.91586921,-3.79
151.26405369,-33.91587258,-3.79
151.26405369,-33.91587258,-3.5
151.26405369,-33.91587258,-3.5
151.2640496,-33.91587112,-3.5
151.26404948,-33.91587196,-3.5
151.26404835,-33.91587021,-3.5
151.26404842,-33.9158682,-3.5
151.26404981,-33.91586836,-3.5
151.26404932,-33.91586909,-3.5
151.2640503,-33.91586991,-3.5
151.26405157,-33.91587165,-3.5
151.26405235,-33.91587315,-3.5
151.26405235,-33.91587315,-3.71
151.26405235,-33.91587315,-3.71
151.26405312,-33.91587112,-3.71
151.264054,-33.91587179,-3.71
151.26405464,-33.91587134,-3.71
151.26405292,-33.91587111,-3.71
151.26405223,-33.91587247,-3.71
151.26405395,-33.91587515,-3.71
151.26405574,-33.91587713,-3.71
151.26405405,-33.91587818,-3.71
151.26405171,-33.91587732,-3.71
151.26405171,-33.91587732,-3.82
151.26405171,-33.91587732,-3.82
151.26404943,-33.91588677,-3.82
151.26405131,-33.91588831,-3.82
